#,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
1,Russia,6937333,18368,184014,790,6199379,18325,553940,2300,47514,1260,179100000,1226650,146007376
2,UK,6825074,35693,132742,207,5502108,35792,1190224,1014,99926,1943,270870957,3965828,68301245
3,France,6765708,,114444,,6255985,,395279,2270,103385,1749,124769146,1906567,65441768
4,Spain,4861883,6818,84472,132,4381350,18452,396061,1518,103940,1806,60618810,1295942,46775880
5,Italy,4546487,6503,129290,51,4280619,7774,136578,540,75325,2142,84339436,1397315,60358206
6,Germany,3961505,6087,92740,10,3744600,6600,124165,1135,47107,1103,68329706,812520,84095984
7,Poland,2889036,366,75358,13,2657084,,156594,55,76433,1994,19819235,524342,37798302
8,Ukraine,2288371,2075,53833,44,2208865,925,25673,177,52694,1240,12008463,276518,43427361
9,Netherlands,1943882,2827,18012,2,1851899,2082,73971,206,113154,1048,16593808,965933,17179038
10,Czechia,1679476,287,30404,,1647148,22,1924,9,156491,2833,36018150,3356106,10732126
11,Belgium,1184664,1854,25380,6,1102280,1528,57004,200,101702,2179,18690579,1604567,11648362
12,Sweden,1127917,,14651,,1087247,1151,26019,46,110878,1440,11757024,1155756,10172580
13,Romania,1100208,1443,34591,21,1055892,833,9725,293,57639,1812,11537894,604457,19088023
14,Portugal,1039492,1565,17757,14,978462,2365,43273,131,102292,1747,16995098,1672408,10162051
15,Hungary,812531,194,30059,1,777646,201,4826,13,84360,3121,6584218,683595,9631758
16,Switzerland,782861,3202,10996,3,706721,,65144,258,89692,1260,9799734,1122755,8728295
17,Serbia,766279,3346,7307,15,722930,1058,36042,87,88115,840,5042425,579833,8696339
18,Austria,690153,1848,10775,3,663461,1131,15917,142,76123,1188,76859312,8477537,9066231
19,Greece,590832,2868,13669,47,540433,3574,36730,346,57010,1319,15628356,1507991,10363690
20,Belarus,483231,1699,3791,11,475898,1598,3542,,51159,401,7817642,827640,9445701
21,Bulgaria,455742,,18896,,405765,,31081,324,66170,2744,4225874,613563,6887437
22,Slovakia,395122,199,12548,,381174,112,1400,14,72331,2297,3325957,608846,5462723
23,Croatia,374803,805,8338,4,362833,383,3632,59,91959,2046,2554090,626656,4075743
24,Ireland,354236,1789,5112,20,298334,1352,50790,56,70820,1022,6415912,1282683,5001947
25,Denmark,346518,825,2584,,331499,1036,12435,25,59581,444,81221077,13965208,5815959
26,Lithuania,299532,695,4569,6,281207,672,13756,106,111851,1706,4438914,1657577,2677954
27,Moldova,268105,579,6406,5,257672,238,4027,127,66642,1592,1576940,391978,4023035
28,Slovenia,267962,764,4450,,257752,385,5760,19,128873,2140,1450905,697795,2079271
29,Bosnia and Herzegovina,214759,906,9815,12,192218,,12726,,65937,3013,1141029,350329,3257020
30,North Macedonia,176494,,5938,,156307,,14249,,84720,2850,1158171,555938,2083274
31,Norway,160887,713,822,8,88952,,71113,13,29409,150,7237714,1323025,5470581
32,Albania,146387,,2498,,133801,,10088,3,50933,869,1053965,366707,2874135
33,Latvia,143106,469,2579,1,137939,331,2588,18,76862,1385,3573273,1919190,1861865
34,Estonia,142363,408,1293,1,134004,466,7066,15,107235,974,1758146,1324330,1327574
35,Finland,127861,679,1030,12,46000,,80831,21,23035,186,6595400,1188200,5550748
36,Montenegro,115956,571,1732,8,105887,531,8337,11,184597,2757,623681,992871,628159
37,Luxembourg,75904,144,830,,74021,89,1053,7,119007,1301,3423446,5367476,637813
38,Malta,36247,76,441,,34727,49,1079,1,81838,996,1194358,2696597,442913
39,Andorra,15046,13,130,,14862,8,54,7,194370,1679,193595,2500937,77409
40,Iceland,10856,67,33,,10003,91,820,10,31575,96,980362,2851373,343821
41,Channel Islands,10608,,95,,10109,,404,,60366,541,809829,4608423,175728
42,Isle of Man,6676,,38,,6046,,592,1,78030,444,83753,978915,85557
43,Gibraltar,5367,13,97,,5169,,101,1,159357,2880,337886,10032543,33679
44,San Marino,5321,,90,,5150,,81,1,156436,2646,75461,2218528,34014
45,Liechtenstein,3278,5,59,,3181,4,38,3,85688,1542,49126,1284172,38255
46,Monaco,3201,,33,,3093,,75,6,80903,834,54960,1389071,39566
47,Faeroe Islands,1001,,2,,993,,6,,20396,41,409000,8333503,49079
